OBJECTID;CODE_VOIE;NOM_VOIE;TYPE_AMENAGEMENT;REALISATION;CIRCUL2R;CIRCVOIT;AFFECTATION;TOURNGAUCHE;SHAPE.LEN
58017;22888;Rue de Sous-Terre;Piste;1992;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;153.59555523140102
58018;22888;Rue de Sous-Terre;Piste;2014;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;10.1817729300942
58019;22985;Route du Stand-de-Veyrier;Piste;2010;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;695.4578938949201
58020;22985;Route du Stand-de-Veyrier;Piste;2010;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;699.7125903613199
58021;22993;Rue du Stand;Bande;1993;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;6.27079739746071
58022;22993;Rue du Stand;Bande;1993;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;85.38419575282379
58023;22993;Rue du Stand;Bande;1993;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;5.510226855584079
58024;22993;Rue du Stand;Bande;1993;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;60.5264354947079
57084;14796;Route du Mandement;Bande;2010;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;87.24893406013089
57087;14796;Route du Mandement;Piste;1987;bidirectionnelle;dans le sens;mixité piétons;;652.941196398961
57090;14796;Route du Mandement;Piste;1987;bidirectionnelle;dans le sens;vélos + cyclomoteurs;;6.83240074937061
57094;14796;Route du Mandement;Piste;2003;bidirectionnelle;;mixité piétons;;136.545453080852
57095;14796;Route du Mandement;Piste;2003;bidirectionnelle;;vélos + cyclomoteurs;;280.53945858426
57098;14800;Rue du Mandement;Piste;2003;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;18.714577206017797
57099;14990;Rue  MARIGNAC;Bande;1992;unidirectionnelle;contresens;vélos + cyclomoteurs;;10.6669208303052
57100;14990;Rue  MARIGNAC;Bande;1992;unidirectionnelle;contresens;vélos + cyclomoteurs;;8.891490313777549
57101;14990;Rue  MARIGNAC;Contresens;1992;unidirectionnelle; ;vélos + cyclomoteurs;;39.4864331131593
57103;15075;Route de Marsillon;Bande; ;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;384.910710389585
57104;15075;Route de Marsillon;Bande; ;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;94.57668130177119
57105;15105;Route Antoine- MARTIN;Bande; ;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;63.94572308585689
57107;15105;Route Antoine- MARTIN;Bande;1996;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;275.94103168495405
57108;15105;Route Antoine- MARTIN;Bande;1996;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;242.22333636265702
57109;15105;Route Antoine- MARTIN;Bande;1996;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;39.252810880637
57110;15105;Route Antoine- MARTIN;Bande;1996;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;40.776600205353894
57111;15105;Route Antoine- MARTIN;Bande;1996;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;113.559794375269
57112;15105;Route Antoine- MARTIN;Bande;1996;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;249.08988138137002
57113;15105;Route Antoine- MARTIN;Bande;1996;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;64.79363477058939
57114;15105;Route Antoine- MARTIN;Bande;1996;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;31.661566717287798
57115;15105;Route Antoine- MARTIN;Bande;1996;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;100.796666573051
57116;15105;Route Antoine- MARTIN;Bande;1996;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;107.148280802931
57117;15105;Route Antoine- MARTIN;Bande;1996;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;221.407250358747
57118;15105;Route Antoine- MARTIN;Bande;1996;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;31.068165378728096
57119;15105;Route Antoine- MARTIN;Bande;1996;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;199.316960469478
57120;15105;Route Antoine- MARTIN;Bande;1996;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;84.26899751423569
57123;15105;Route Antoine- MARTIN;Bande;1998;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;33.5778901869276
57126;15172;Rue  MASBOU;Dérogation 2R;2005;bidirectionnelle; ;au statut de la rue : vélos seuls;;87.8975141855559
