COMMUNE;NOM_ECOLE;STATUT;LIEN_WWW;NB_EL_DERNIER_RELEVE;NB_1P_DERNIER_RELEVE;NB_2P_DERNIER_RELEVE;NB_3P_DERNIER_RELEVE;NB_4P_DERNIER_RELEVE;NB_5P_DERNIER_RELEVE;NB_6P_DERNIER_RELEVE;NB_7P_DERNIER_RELEVE;NB_8P_DERNIER_RELEVE;NB_CL_DERNIER_RELEVE;NB_EL_2018;NB_CL_2018;NB_EL_2017;NB_CL_2017;NB_EL_2016;NB_CL_2016;NB_EL_2015;NB_CL_2015;NB_EL_2014;NB_CL_2014;NB_EL_2013;NB_CL_2013;NB_EL_2012;NB_CL_2012;SHAPE.AREA;SHAPE.LEN
Onex;Racettes;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Onex Racettes.JPG;214.0;31.0;22.0;29.0;31.0;26.0;30.0;22.0;23.0;10.0;225.0;11.0;225.0;11.0;223.0;11.0;213.0;10.0;205.0;10.0;193.0;9.0;188.0;9.0;1692.548707;306.379868676872
Onex;Tattes;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Onex Tattes.JPG;220.0;0.0;10.0;43.0;32.0;32.0;39.0;27.0;37.0;13.0;235.0;13.0;220.0;12.0;216.0;12.0;216.0;12.0;216.0;12.0;215.0;12.0;212.0;12.0;2649.085845;413.30514636270703
Plan-les-Ouates;Pré du camp;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Pré du camp.JPG;350.0;47.0;46.0;40.0;56.0;38.0;46.0;31.0;46.0;16.0;337.0;16.0;329.0;15.0;347.0;16.0;366.0;16.0;386.0;18.0;373.0;17.0;395.0;19.0;3964.889163;705.978190903823
Genève-Petit-Saconnex;Geisendorf-Faller;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Geisendorf-Faller.JPG;156.0;44.0;45.0;43.0;24.0;0.0;0.0;0.0;0.0;7.0;137.0;7.0;139.0;7.0;139.0;7.0;139.0;7.0;133.0;7.0;138.0;7.0;145.0;7.0;929.715336;180.691851897489
Genève-Petit-Saconnex;Geisendorf-Central;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Geisendorf-Central.JPG;258.0;0.0;0.0;0.0;0.0;65.0;57.0;65.0;71.0;12.0;243.0;12.0;255.0;12.0;234.0;12.0;250.0;12.0;266.0;12.0;275.0;13.0;299.0;13.0;2868.035685;487.467431617326
Genève-Plainpalais;Micheli-du-Crest;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Micheli-du-Crest.JPG;247.0;36.0;39.0;31.0;35.0;21.0;32.0;30.0;23.0;12.0;250.0;12.0;250.0;12.0;255.0;13.0;247.0;13.0;249.0;13.0;244.0;14.0;245.0;13.0;1362.899198;228.239905495838
Genève-Plainpalais;Roseraie;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Roseraie.JPG;485.0;49.0;49.0;71.0;59.0;65.0;65.0;56.0;71.0;24.0;482.0;24.0;487.0;24.0;478.0;24.0;454.0;24.0;443.0;23.0;425.0;22.0;437.0;22.0;1826.7497515;333.607589908571
Grand-Saconnex;Grand-Saconnex Village;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Grand-Saconnex Village.JPG;124.0;24.0;31.0;45.0;24.0;0.0;0.0;0.0;0.0;6.0;135.0;7.0;141.0;8.0;149.0;8.0;162.0;8.0;147.0;8.0;141.0;8.0;165.0;8.0;1078.4498985;139.746452407749
Thônex;Marcelly;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Thônex Marcelly.JPG;396.0;45.0;39.0;44.0;56.0;53.0;70.0;43.0;46.0;18.0;421.0;18.0;415.0;18.0;402.0;18.0;368.0;17.0;336.0;16.0;344.0;16.0;349.0;16.0;1699.08225;346.99472062127103
Troinex;Troinex;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Troinex.JPG;293.0;27.0;34.0;45.0;31.0;32.0;38.0;36.0;50.0;13.0;279.0;13.0;273.0;13.0;256.0;12.0;259.0;12.0;246.0;11.0;250.0;12.0;241.0;12.0;1312.4839495;350.910843128994
